EmployeeID,Salary
EMP00001,19046.09
EMP00002,3769.41
EMP00003,20795.55
EMP00004,28878.46
EMP00005,12055.70
EMP00006,19192.79
EMP00007,25364.65
EMP00008,11952.08
EMP00009,26233.83
EMP00010,5691.79
EMP00011,13332.58
EMP00012,15923.44
EMP00013,10019.38
EMP00014,12382.02
EMP00015,4030.23
EMP00016,4723.03
EMP00017,18545.17
EMP00018,9844.25
EMP00019,15158.62
EMP00020,15810.35
EMP00021,13596.68
EMP00022,21783.31
EMP00023,19647.31
EMP00024,10567.99
EMP00025,12911.82
EMP00026,20326.31
EMP00027,19533.03
EMP00028,3197.67
EMP00029,28315.30
EMP00030,15787.76
EMP00031,28103.45
EMP00032,12599.67
EMP00033,25332.84
EMP00034,15122.65
EMP00035,25374.79
EMP00036,12657.22
EMP00037,6175.44
EMP00038,9525.79
EMP00039,17388.53
EMP00040,26631.80
EMP00041,19322.79
EMP00042,17716.80
EMP00043,24823.57
EMP00044,10003.23
EMP00045,26367.46
EMP00046,24375.01
EMP00047,15024.34
EMP00048,29059.97
EMP00049,29308.05
EMP00050,6956.97
EMP00051,14743.95
EMP00052,13860.69
EMP00053,5099.51
EMP00054,4741.68
EMP00055,7693.12
EMP00056,11847.10
EMP00057,5982.55
EMP00058,26404.57
EMP00059,26371.77
EMP00060,20391.20
EMP00061,23922.03
EMP00062,29721.30
EMP00063,13639.15
EMP00064,17906.61
EMP00065,17385.11
EMP00066,24145.69
EMP00067,12052.11
EMP00068,19844.18
EMP00069,23685.67
EMP00070,29993.70
EMP00071,15167.79
EMP00072,16926.19
EMP00073,15209.68
EMP00074,13796.20
EMP00075,28767.87
EMP00076,22351.41
EMP00077,21019.42
EMP00078,9058.21
EMP00079,5316.03
EMP00080,28425.08
EMP00081,29610.49
EMP00082,20180.84
EMP00083,3908.39
EMP00084,17132.90
EMP00085,12965.68
EMP00086,19664.31
EMP00087,4518.86
EMP00088,14588.02
EMP00089,15513.77
EMP00090,8916.79
EMP00091,22477.06
EMP00092,12032.04
EMP00093,11158.93
EMP00094,17043.21
EMP00095,17845.61
EMP00096,17168.63
EMP00097,11197.57
EMP00098,5882.16
EMP00099,29687.49
EMP00100,10048.00
EMP00101,5684.84
EMP00102,14295.91
EMP00103,18130.52
EMP00104,20505.30
EMP00105,7651.73
EMP00106,25299.96
EMP00107,9647.11
EMP00108,29283.38
EMP00109,16506.35
EMP00110,27043.13
EMP00111,20071.85
EMP00112,28442.55
EMP00113,13979.38
EMP00114,25917.88
EMP00115,6577.66
EMP00116,9474.98
EMP00117,19093.64
EMP00118,3192.67
EMP00119,20123.47
EMP00120,12700.81
EMP00121,27851.95
EMP00122,13514.53
EMP00123,9771.65
EMP00124,22025.85
EMP00125,23644.55
EMP00126,21429.49
EMP00127,15753.53
EMP00128,17987.58
EMP00129,4779.27
EMP00130,9712.34
EMP00131,27234.09
EMP00132,19206.33
EMP00133,27032.28
EMP00134,22784.23
EMP00135,27394.09
EMP00136,13892.97
EMP00137,7706.49
EMP00138,18827.96
EMP00139,4708.71
EMP00140,11942.27
EMP00141,22367.01
EMP00142,20385.43
EMP00143,26156.12
EMP00144,8362.58
EMP00145,23199.61
EMP00146,23240.24
EMP00147,9537.78
EMP00148,6358.33
EMP00149,14808.22
EMP00150,11250.99
EMP00151,28134.07
EMP00152,26290.61
EMP00153,17231.25
EMP00154,17506.51
EMP00155,25554.91
EMP00156,7994.25
EMP00157,26014.36
EMP00158,8724.41
EMP00159,28874.13
EMP00160,22526.39
EMP00161,27328.42
EMP00162,17207.62
EMP00163,7959.92
EMP00164,4362.16
EMP00165,22366.69
EMP00166,26911.15
EMP00167,25330.51
EMP00168,21336.94
EMP00169,13594.07
EMP00170,12252.04
EMP00171,16875.03
EMP00172,5262.89
EMP00173,5853.87
EMP00174,17220.66
EMP00175,28383.93
EMP00176,25118.95
EMP00177,7863.95
EMP00178,3119.65
EMP00179,12031.69
EMP00180,11029.14
EMP00181,27254.16
EMP00182,6869.53
EMP00183,29746.46
EMP00184,24902.77
EMP00185,27010.81
EMP00186,22275.64
EMP00187,4787.04
EMP00188,28613.66
EMP00189,23001.86
EMP00190,20951.26
EMP00191,28827.06
EMP00192,19941.63
EMP00193,6157.27
EMP00194,22734.99
EMP00195,28419.54
EMP00196,19190.23
EMP00197,4874.75
EMP00198,24428.03
EMP00199,15881.94
EMP00200,14428.93
EMP00201,14309.45
EMP00202,8507.92
EMP00203,15402.63
EMP00204,18685.52
EMP00205,4389.18
EMP00206,19150.04
EMP00207,3523.99
EMP00208,20136.70
EMP00209,22672.80
EMP00210,5406.98
EMP00211,28105.96
EMP00212,4409.77
EMP00213,17539.68
EMP00214,5757.84
EMP00215,16415.49
EMP00216,19517.93
EMP00217,14662.05
EMP00218,17445.99
EMP00219,27123.21
EMP00220,5704.22
EMP00221,13269.58
EMP00222,13073.12
EMP00223,9718.34
EMP00224,12566.15
EMP00225,18366.84
EMP00226,12811.52
EMP00227,15175.72
EMP00228,18273.37
EMP00229,21809.62
EMP00230,26333.39
EMP00231,17626.06
EMP00232,7474.80
EMP00233,26984.82
EMP00234,17137.24
EMP00235,24291.35
EMP00236,17619.85
EMP00237,28771.05
EMP00238,3376.19
EMP00239,3051.61
EMP00240,10889.66
EMP00241,22484.01
EMP00242,20561.66
EMP00243,14707.51
EMP00244,22750.10
EMP00245,28630.06
EMP00246,12627.98
EMP00247,20295.52
EMP00248,26297.19
EMP00249,27505.99
EMP00250,5799.76
EMP00251,3697.75
EMP00252,6068.61
EMP00253,3990.19
EMP00254,20503.55
EMP00255,13268.30
EMP00256,21841.73
EMP00257,9271.75
EMP00258,6208.89
EMP00259,20271.15
EMP00260,19128.85
EMP00261,8759.56
EMP00262,23571.14
EMP00263,9591.51
EMP00264,24614.64
EMP00265,6001.85
EMP00266,28579.53
EMP00267,28443.57
EMP00268,19658.78
EMP00269,27129.46
EMP00270,12588.83
EMP00271,19651.61
EMP00272,19208.16
EMP00273,16112.69
EMP00274,6131.22
EMP00275,22530.20
EMP00276,26028.91
EMP00277,15991.14
EMP00278,18267.74
EMP00279,9430.86
EMP00280,10077.16
EMP00281,7200.54
EMP00282,7944.31
EMP00283,18658.36
EMP00284,17080.92
EMP00285,5177.51
EMP00286,9367.40
EMP00287,25689.49
EMP00288,20001.63
EMP00289,3575.05
EMP00290,19807.86
EMP00291,24450.07
EMP00292,27984.78
EMP00293,28666.43
EMP00294,14478.79
EMP00295,18823.36
EMP00296,19692.90
EMP00297,28854.01
EMP00298,22214.23
EMP00299,21573.35
EMP00300,8542.31
EMP00301,17632.34
EMP00302,8600.58
EMP00303,22471.26
EMP00304,6336.58
EMP00305,10881.00
EMP00306,17980.77
EMP00307,29611.59
EMP00308,16105.22
EMP00309,8982.93
EMP00310,3363.94
EMP00311,5696.16
EMP00312,23615.16
EMP00313,5977.79
EMP00314,19729.15
EMP00315,29450.26
EMP00316,26025.55
EMP00317,3767.58
EMP00318,3511.49
EMP00319,16314.62
EMP00320,3503.26
EMP00321,26292.99
EMP00322,14202.76
EMP00323,17130.02
EMP00324,26306.47
EMP00325,4594.24
EMP00326,11985.75
EMP00327,25698.48
EMP00328,18878.51
EMP00329,29758.87
EMP00330,8152.66
EMP00331,6865.60
EMP00332,16871.44
EMP00333,11941.61
EMP00334,29732.68
EMP00335,26123.19
EMP00336,3741.00
EMP00337,17918.00
EMP00338,24272.48
EMP00339,24679.59
EMP00340,26619.71
EMP00341,9003.14
EMP00342,3075.63
EMP00343,20486.89
EMP00344,29584.25
EMP00345,4631.38
EMP00346,3412.90
EMP00347,5850.37
EMP00348,25186.05
EMP00349,25449.73
EMP00350,29265.40
EMP00351,9974.49
EMP00352,19210.76
EMP00353,3429.84
EMP00354,8055.98
EMP00355,29123.44
EMP00356,18072.78
EMP00357,26247.77
EMP00358,3561.54
EMP00359,10991.01
EMP00360,27034.98
EMP00361,26020.41
EMP00362,21780.00
EMP00363,4385.29
EMP00364,26572.00
EMP00365,26419.26
EMP00366,3950.71
EMP00367,4438.36
EMP00368,7666.81
EMP00369,10209.37
EMP00370,23195.09
EMP00371,16249.11
EMP00372,11646.03
EMP00373,29380.72
EMP00374,16357.34
EMP00375,24159.72
EMP00376,26318.44
EMP00377,7253.71
EMP00378,20580.31
EMP00379,21751.50
EMP00380,23683.99
EMP00381,14247.62
EMP00382,12952.17
EMP00383,4125.91
EMP00384,8327.67
EMP00385,20402.69
EMP00386,10202.48
EMP00387,10109.41
EMP00388,29802.50
EMP00389,15241.07
EMP00390,25914.00
EMP00391,9687.78
EMP00392,21840.55
EMP00393,27141.33
EMP00394,17047.32
EMP00395,11236.63
EMP00396,11108.52
EMP00397,19083.39
EMP00398,27750.36
EMP00399,26968.93
EMP00400,15446.31
EMP00401,22397.31
EMP00402,5443.40
EMP00403,21468.82
EMP00404,11092.21
EMP00405,7019.44
EMP00406,3032.33
EMP00407,3222.99
EMP00408,18307.71
EMP00409,7723.32
EMP00410,20809.26
EMP00411,29696.52
EMP00412,12067.84
EMP00413,15850.29
EMP00414,9149.07
EMP00415,27729.67
EMP00416,8079.49
EMP00417,20216.27
EMP00418,12504.24
EMP00419,9855.31
EMP00420,9330.73
EMP00421,18116.00
EMP00422,3437.60
EMP00423,9553.74
EMP00424,8658.25
EMP00425,4685.32
EMP00426,9513.52
EMP00427,22472.21
EMP00428,11448.11
EMP00429,22314.23
EMP00430,3793.18
EMP00431,24241.24
EMP00432,14556.37
EMP00433,14330.27
EMP00434,4447.73
EMP00435,7717.72
EMP00436,25851.98
EMP00437,17791.43
EMP00438,22615.81
EMP00439,24277.11
EMP00440,20443.19
EMP00441,16942.16
EMP00442,15087.71
EMP00443,20162.56
EMP00444,14651.81
EMP00445,16693.22
EMP00446,3698.34
EMP00447,17878.39
EMP00448,9146.33
EMP00449,21387.72
EMP00450,16454.83
EMP00451,15188.49
EMP00452,28335.21
EMP00453,20110.85
EMP00454,25411.64
EMP00455,18447.38
EMP00456,28156.09
EMP00457,3889.42
EMP00458,10137.40
EMP00459,4752.23
EMP00460,29774.33
EMP00461,12310.28
EMP00462,14292.29
EMP00463,18758.74
EMP00464,5425.99
EMP00465,11362.80
EMP00466,18353.46
EMP00467,29951.93
EMP00468,7706.20
EMP00469,12680.74
EMP00470,28888.22
EMP00471,7705.01
EMP00472,15012.27
EMP00473,15822.92
EMP00474,12980.72
EMP00475,25595.18
EMP00476,13604.77
EMP00477,5789.39
EMP00478,20467.93
EMP00479,27174.54
EMP00480,8845.50
EMP00481,18621.44
EMP00482,12533.82
EMP00483,9717.95
EMP00484,5612.72
EMP00485,8678.83
EMP00486,8948.50
EMP00487,3386.16
EMP00488,8677.13
EMP00489,19026.27
EMP00490,19819.56
EMP00491,11753.63
EMP00492,10951.02
EMP00493,28294.28
EMP00494,26148.13
EMP00495,11754.87
EMP00496,3993.97
EMP00497,8405.34
EMP00498,19750.50
EMP00499,23801.28
EMP00500,17974.17
EMP00501,19676.91
EMP00502,22218.44
EMP00503,21112.57
EMP00504,23443.72
EMP00505,23026.30
EMP00506,20547.48
EMP00507,23192.51
EMP00508,14789.04
EMP00509,16310.32
EMP00510,18862.22
EMP00511,5858.30
EMP00512,17064.19
EMP00513,25233.86
EMP00514,20311.31
EMP00515,13306.06
EMP00516,4105.44
EMP00517,16756.67
